rel/UBC																									
	FLC spliced	FLC unspliced	FLC 76 181	FLC 88 235	FLC 438 502	FLC 670 779	FLC840 945	FLC 993 1105	FLC 1146 1265	FLC 1533 1670	FLC unspliced Intron 6	FLC 214 332	FLC intron 1 unspliced	FLC 234 343	FLC 3197 3333	FLC 1884 2062	FLC intron 1 middle	FLC 2356 2451	FLC unspliced 3'	FLC 3643 3752	FLC 3728 3826	ACTIN 54 239	ACTIN 668 769	ACTIN 1144 1291	ACTIN 1866 1983
FRI NV A	2.047157548	0.282820385	1.94071473	16.9446792	0.375549203	0.021596019	0.229339818	0.072292419	0.081868841	11.78231683	0.429466962	0.003217243	0.009630658	0.162949248	0.1437768	0.033834967	0.025966703	0.202162266	0.005952623	0.027456697	2.5948E-05	0.024325412	0.118411352	0.637002439	0.238702065
FRI NV B	1.890806664	0.272764347	1.621142193	19.27673807	0.367734243	0.018584774	0.204602416	0.049062699	0.059328544	8.899365214	0.328177844	0.003367734	0.011170513	0.178481297	0.128112709	0.045693313	0.032951489	0.207512954	0.005324708	0.021724026	3.4533E-05	0.020626223	0.123269645	0.526670258	0.21966738
FRI NV C	1.771095344	0.308654194	1.691646269	15.76549198	0.369371119	0.021004482	0.186113041	0.056179164	0.082520977	10.04767233	0.344421839	0.004033845	0.00893466	0.189851634	0.121622526	0.039194396	0.035645077	0.240095016	0.006409032	0.034625311	3.10608E-05	0.017360981	0.110558667	0.529375483	0.182877935
FRI 2WV T0 A	1.194787551	0.088360238	1.193723352	11.72708426	0.093253603	0.00432257	0.0615665	0.023230738	0.025315702	4.18103242	0.18553849	0.000707248	0.002030614	0.027246946	0.045451795	0.017112963	0.011157234	0.068591933	0.002363043	0.012201264	1.64886E-05	0.008408681	0.104187886	0.38893662	0.145954948
FRI 2WV T0 B	1.298180085	0.087710237	0.938363644	13.1082261	0.095091371	0.004895259	0.043461744	0.023642383	0.027324846	4.002353382	0.148020261	0.000717653	0.002501395	0.040467899	0.047900901	0.017813489	0.013313576	0.1032507	0.002762044	0.0117514	2.91086E-05	0.015628267	0.100014293	0.341129091	0.121517776
FRI 2WV T0 C	1.453669733	0.120325833	1.424941079	13.93256843	0.139211479	0.007561634	0.076532142	0.035514596	0.031360357	4.829765965	0.257243035	0.000954448	0.003579701	0.042815807	0.061011573	0.020658801	0.014705179	0.12639965	0.003779778	0.016735465	2.28168E-05	0.01489893	0.116438291	0.497951426	0.16021961
FRI 2WV T7 A	1.039127714	0.157662125	0.896619516	9.140606583	0.198527046	0.011617399	0.163912536	0.051673511	0.052025329	7.083490404	0.290417927	0.001906575	0.005274121	0.090410587	0.089000895	0.020031512	0.015326457	0.138267371	0.004302608	0.017276485	2.98173E-05	0.028687688	0.137332648	0.63259414	0.286135006
FRI 2WV T7 B	0.744942569	0.145339485	0.819625134	8.470755921	0.144985346	0.00919225	0.10336349	0.047230765	0.038098471	5.753682505	0.203563169	0.001489821	0.004265953	0.066075026	0.066110753	0.023851581	0.013373764	0.126859736	0.003136831	0.012311159	1.6595E-05	0.028847748	0.125262804	0.591307301	0.217426911
FRI 2WV T7 C	1.250782738	0.214229329	1.164503826	10.00729569	0.221048556	0.013559519	0.16139917	0.041986264	0.057757707	7.964262289	0.23637764	0.002089381	0.007837026	0.112523926	0.099904885	0.026196404	0.018831614	0.172181656	0.004483252	0.019588674	2.58685E-05	0.034144716	0.159744248	0.795698726	0.286771635
FRI 4WV T0 A	0.546163797	0.048131987	0.459707627	4.751668834	0.060073795	0.003183223	0.04726667	0.017330832	0.018971906	3.309231099	0.148870697	0.000353302	0.001053519	0.019277191	0.043845333	0.008259309	0.004570325	0.045388496	0.002921485	0.011304534	4.54773E-06	0.016000608	0.1483799	0.798337088	0.344517399
FRI 4WV T0 B	0.590329646	0.061201465	0.627960594	6.00228235	0.072050067	0.003996895	0.050520129	0.014372382	0.024621442	3.830498209	0.169447272	0.000462866	0.001600638	0.026418521	0.043705455	0.013797067	0.009346221	0.069093891	0.002556876	0.011268041	1.5813E-05	0.016671676	0.244680594	0.936630059	0.311254853
FRI 4WV T0 C	0.654349323	0.058185136	0.588570104	5.984598683	0.06887399	0.003665565	0.04708092	0.014323291	0.023826364	3.441285119	0.140434935	0.00051864	0.001292838	0.034832147	0.038304267	0.01134653	0.006897312	0.064553594	0.002086682	0.008563407	8.95633E-06	0.016727266	0.152464682	0.700081586	0.23913827
FRI 4WV T7 A	0.435862433	0.062419111	0.457389111	3.877508953	0.077371796	0.004621554	0.055012283	0.014028046	0.022052353	3.513380321	0.114147926	0.000777016	0.001979696	0.037203198	0.035979001	0.009375362	0.004359045	0.053543778	0.001606105	0.007010735	8.02739E-06	0.036316037	0.18879979	1.017214872	0.347650346
FRI 4WV T7 B	0.474249904	0.062826281	0.369081895	3.762691674	0.074762358	0.005109336	0.04523799	0.017433036	0.021320467	3.944704109	0.104920592	0.000715452	0.002658598	0.040724661	0.03925607	0.010043493	0.006001783	0.072256692	0.00213933	0.008035999	1.99978E-05	0.030974834	0.234999016	1.005832744	0.402923796
FRI 4WV T7 C	0.740654455	0.060898446	0.618432218	5.187446384	0.066275054	0.003812546	0.031480943	0.010142048	0.016052042	3.025095354	0.116955898	0.000466228	0.001500747	0.026803563	0.029147212	0.008871211	0.009744549	0.064744842	0.001484022	0.007456782	1.77816E-05	0.020101979	0.153740218	0.743891298	0.258779874
FRI 6WV T0 A	0.273553033	0.020531879	0.217083978	2.587193479	0.025110868	0.000934064	0.016167609	0.004995593	0.007556938	1.611615825	0.059666664	0.000120666	0.000373181	0.011774679	0.012317819	0.006077553	0.002263096	0.02808716	0.000759089	0.004255817	5.55147E-06	0.021916128	0.158204109	0.643675484	0.222543729
FRI 6WV T0 B	0.283348528	0.019634898	0.269699854	2.620351129	0.022523684	0.001082385	0.018512428	0.00475211	0.006671597	1.285527844	0.046564368	0.000158512	0.000496614	0.010105772	0.01096887	0.00333055	0.003228028	0.031104356	0.000668688	0.002553154	3.54166E-06	0.017466069	0.167475432	0.626552855	0.195002611
FRI 6WV T0 C	0.305654499	0.021406423	0.289732569	2.417213644	0.025017268	0.001626385	0.012532261	0.004526355	0.007019604	1.653155953	0.052210923	0.00017714	0.000543696	0.014659675	0.013396762	0.005301887	0.00374635	0.034599027	0.00066626	0.003126712	1.17007E-05	0.022142746	0.163785267	0.626653366	0.175745511
FRI 6WV T7 A	0.188329308	0.026760684	0.185474074	1.725726683	0.032974095	0.001777409	0.019853485	0.005293136	0.008608056	1.751490398	0.030824735	0.000254804	0.000897242	0.018203056	0.010102272	0.004831278	0.003596228	0.032075803	0.000471075	0.002558007	6.94496E-06	0.026178913	0.221857647	0.940039148	0.295270171
FRI 6WV T7 B	0.176969306	0.023052958	0.158384634	1.453565668	0.029410944	0.001424192	0.019369442	0.005657084	0.008105439	1.73766728	0.034864254	0.000217786	0.000794473	0.01048072	0.012731852	0.003186124	0.002062717	0.02788221	0.000518559	0.003209097	5.71506E-06	0.030945514	0.173555877	1.023450153	0.349702962
FRI 6WV T7 C	0.172440904	0.020447933	0.164740895	1.41243643	0.031993314	0.00097854	0.017765943	0.003978613	0.00639753	1.363876564	0.028819672	0.000149969	0.000649475	0.013939418	0.008979725	0.002701521	0.003160123	0.018225609	0.000466475	0.002333868	2.51603E-06	0.028820167	0.187401329	1.016868016	0.358878804
FRI 8WV T0 A	0.137615535	0.006609692	0.137946973	1.322787385	0.008184427	0.000325249	0.006555885	0.001585844	0.002196393	0.690032845	0.019724605	4.49617E-05	0.000125757	0.005243554	0.004906726	0.001976228	0.000786209	0.008646815	0.000225558	0.000849375	1.19129E-06	0.01618785	0.146886725	0.742182081	0.249339408
FRI 8WV T0 B	0.129096671	0.009213237	0.169211882	1.430758135	0.010308579	0.000453294	0.006025577	0.002053544	0.002477616	0.727035667	0.013548966	7.19089E-05	0.000271331	0.00510989	0.004018016	0.001942094	0.002048562	0.014761303	0.000145212	0.001125753	1.52259E-06	0.02040952	0.190829118	0.74279185	0.227370156
FRI 8WV T0 C	0.148087847	0.010040961	0.132607079	1.225342628	0.013703321	0.000513584	0.005864888	0.001741366	0.002743659	0.802280262	0.015472107	6.47855E-05	0.000201465	0.005926516	0.004017167	0.001784948	0.001170389	0.011388059	0.000292146	0.001305505	1.45553E-06	0.02142768	0.200860481	0.792805875	0.247227504
FRI 8WV T7 A	0.098264865	0.01143578	0.06999705	0.696589144	0.016386358	0.000748656	0.009862811	0.002380194	0.003699633	0.903494404	0.012165603	7.87666E-05	0.000367517	0.008380562	0.004111306	0.001317051	0.001301733	0.013014796	0.000212263	0.001484502	3.68102E-06	0.031092688	0.256850594	1.165716591	0.354751993
FRI 8WV T7 B	0.070553715	0.007828048	0.049132978	0.459506348	0.014570829	0.000422916	0.008799943	0.001995555	0.003260021	0.772051014	0.011274005	8.86656E-05	0.000315107	0.005849846	0.002389866	0.001812078	0.001257978	0.008688094	0.000223159	0.000853551	1.42293E-06	0.031036351	0.221097742	0.963175512	0.344168562
FRI 8WV T7 C	0.081577862	0.010382525	0.056417369	0.608969101	0.014464502	0.000651856	0.010338924	0.002321814	0.003512256	0.879314581	0.010475093	0.000106888	0.000301597	0.006609573	0.005714654	0.000995952	0.001006763	0.00951213	0.000230359	0.001535509	1.06132E-06	0.026935577	0.162258971	0.94690992	0.410562095
