	NV	1W	2W	4W	6W		
ColFRI	0.981497	1.07033	0.786248	0.277981	0.183399		
ColFRI	0.863373	1.191728	0.828203	0.369349	0.152096		
ColFRI	1.15513	1.246649	0.736142	0.422802	0.208491		
TEX1_Z2 flclean	1.327414	1.037864	0.510017	0.470941	0.215927		
TEX1_Z2 flclean	0.778418	0.49094	0.767702	0.475863	0.21518		
TEX1_Z2 flclean	0.894168	0.728812	0.594034	0.497793	0.217429		
TEX2_Z7 flclean	0.871827	1.289769	0.740778	0.544164	0.349197		
TEX2_Z7 flclean	1.001466	1.001466	1.069631	0.64043	0.37426		
TEX2_Z7 flclean	1.126708	1.178632	0.994548	0.62725	0.297738		
dCOOLAIR	1.13281864	0.687911272	0.62523118	0.29750629	0.20116937		
dCOOLAIR	0.79177527	0.77325473	0.66071551	0.30674694	0.21845989		
dCOOLAIR	1.07540609	0.86736635	0.81646675	0.3578552	0.15028297		
