	NV	1W	2W	4W	6W							
ColFRI	1.077492	0.383601	0.273133	0.13055	0.080642							
ColFRI	0.941268	0.535025	0.344524	0.141383	0.060693							
ColFRI	0.98124	0.431573	0.197193	0.117251	0.073438							
TEX1_Z2 flclean	1.200858	0.57797	0.40306	0.306523	0.14201							
TEX1_Z2 flclean	0.682578	0.354551	0.392038	0.21977	0.163127							
TEX1_Z2 flclean	1.116564	0.729038	0.405863	0.304405	0.141519							
TEX2_Z7 flclean	0.7397	0.496551	0.574354	0.423376	0.000727							
TEX2_Z7 flclean	1.214206	0.712031	0.771112	0.290179	0.166087							
TEX2_Z7 flclean	1.046094	0.75263	0.637286	0.366025	0.104026							
dCOOLAIR	0.94146458	0.42731126	0.3326761	0.12108179	0.09063493							
dCOOLAIR	0.86827547	0.46075683	0.45224076	0.16858125	0.0972945							
dCOOLAIR	1.19025996	0.41306532	0.42943981	0.14497168	0.07091077							
												
												
												
												
												
												
												
												
