Sample	Primer	RelUBC
NV	FLC-spl	6.427588399
NV	FLC-spl	6.543216468
NV	FLC-spl	8.14924648
NV	FLC-spl	9.426137111
1H	FLC-spl	3.723518864
1H	FLC-spl	4.879274559
1H	FLC-spl	4.552524138
2H	FLC-spl	2.657371628
2H	FLC-spl	1.905275996
2H	FLC-spl	3.116658319
4H	FLC-spl	3.279175994
4H	FLC-spl	3.234030609
4H	FLC-spl	2.713208655
6H	FLC-spl	3.031433133
6H	FLC-spl	3.386981249
6H	FLC-spl	3.038445328
12H	FLC-spl	2.434007027
12H	FLC-spl	2.881193724
12H	FLC-spl	2.255321854
1D	FLC-spl	2.445280555
1D	FLC-spl	2.445280555
1D	FLC-spl	3.26405794
2D	FLC-spl	2.663518559
2D	FLC-spl	2.732080514
2D	FLC-spl	2.4794154
4D	FLC-spl	4.112455307
4D	FLC-spl	3.596682143
4D	FLC-spl	3.872682784
7D	FLC-spl	3.723518864
7D	FLC-spl	4.046477761
7D	FLC-spl	3.935826614
NV	FLC-uns	0.034632766
NV	FLC-uns	0.025618562
NV	FLC-uns	0.059954007
NV	FLC-uns	0.056068463
1H	FLC-uns	0.029428001
1H	FLC-uns	0.036651092
1H	FLC-uns	0.030536249
2H	FLC-uns	0.02664484
2H	FLC-uns	0.020760716
2H	FLC-uns	0.02664484
4H	FLC-uns	0.019550283
4H	FLC-uns	0.019595506
4H	FLC-uns	0.027141921
6H	FLC-uns	0.020146411
6H	FLC-uns	0.020193013
6H	FLC-uns	0.019325729
12H	FLC-uns	0.010525262
12H	FLC-uns	0.010549609
12H	FLC-uns	0.008013603
1D	FLC-uns	0.017417322
1D	FLC-uns	0.016250936
1D	FLC-uns	0.017457612
2D	FLC-uns	0.017824433
2D	FLC-uns	0.01701951
2D	FLC-uns	0.01516266
4D	FLC-uns	0.012958118
4D	FLC-uns	0.011385436
4D	FLC-uns	0.010166733
7D	FLC-uns	0.007651721
7D	FLC-uns	0.007758535
7D	FLC-uns	0.008412012
